WT_20microM_PDC12_Tube_001.fcs	NA	56399
WT_20microM_PDC12_Tube_001.fcs/Lymphocytes	28.4	16014
WT_20microM_PDC12_Tube_001.fcs/Lymphocytes/BU-1_super_Pos	0.00624	1
WT_20microM_PDC12_Tube_001.fcs/Lymphocytes/Bu1_Pos	0.73	117
WT_20microM_PDC12_Tube_002.fcs	NA	22562
WT_20microM_PDC12_Tube_002.fcs/Lymphocytes	51.7	11669
WT_20microM_PDC12_Tube_002.fcs/Lymphocytes/BU-1_super_Pos	0.17	20
WT_20microM_PDC12_Tube_002.fcs/Lymphocytes/Bu1_Pos	82.5	9625
WT_20microM_PDC12_Tube_003.fcs	NA	17568
WT_20microM_PDC12_Tube_003.fcs/Lymphocytes	65.4	11495
WT_20microM_PDC12_Tube_003.fcs/Lymphocytes/BU-1_super_Pos	0.0087	1
WT_20microM_PDC12_Tube_003.fcs/Lymphocytes/Bu1_Pos	73.5	8448
WT_20microM_PDC12_Tube_004.fcs	NA	40858
WT_20microM_PDC12_Tube_004.fcs/Lymphocytes	33.8	13826
WT_20microM_PDC12_Tube_004.fcs/Lymphocytes/BU-1_super_Pos	0.12	16
WT_20microM_PDC12_Tube_004.fcs/Lymphocytes/Bu1_Pos	29.3	4050
WT_20microM_PDC12_Tube_005.fcs	NA	19047
WT_20microM_PDC12_Tube_005.fcs/Lymphocytes	60.2	11473
WT_20microM_PDC12_Tube_005.fcs/Lymphocytes/BU-1_super_Pos	0.044	5
WT_20microM_PDC12_Tube_005.fcs/Lymphocytes/Bu1_Pos	76.4	8762
WT_20microM_PDC12_Tube_006.fcs	NA	40790
WT_20microM_PDC12_Tube_006.fcs/Lymphocytes	34.9	14240
WT_20microM_PDC12_Tube_006.fcs/Lymphocytes/BU-1_super_Pos	0.24	34
WT_20microM_PDC12_Tube_006.fcs/Lymphocytes/Bu1_Pos	17.9	2556
WT_20microM_PDC12_Tube_007.fcs	NA	39048
WT_20microM_PDC12_Tube_007.fcs/Lymphocytes	45.9	17917
WT_20microM_PDC12_Tube_007.fcs/Lymphocytes/BU-1_super_Pos	0.017	3
WT_20microM_PDC12_Tube_007.fcs/Lymphocytes/Bu1_Pos	7.7	1380
WT_20microM_PDC12_Tube_008.fcs	NA	34114
WT_20microM_PDC12_Tube_008.fcs/Lymphocytes	21.2	7222
WT_20microM_PDC12_Tube_008.fcs/Lymphocytes/BU-1_super_Pos	0.14	10
WT_20microM_PDC12_Tube_008.fcs/Lymphocytes/Bu1_Pos	42.4	3063
WT_20microM_PDC12_Tube_009.fcs	NA	41734
WT_20microM_PDC12_Tube_009.fcs/Lymphocytes	29.8	12440
WT_20microM_PDC12_Tube_009.fcs/Lymphocytes/BU-1_super_Pos	0	0
WT_20microM_PDC12_Tube_009.fcs/Lymphocytes/Bu1_Pos	0.08	10
WT_20microM_PDC12_Tube_010.fcs	NA	37123
WT_20microM_PDC12_Tube_010.fcs/Lymphocytes	30.8	11431
WT_20microM_PDC12_Tube_010.fcs/Lymphocytes/BU-1_super_Pos	0.16	18
WT_20microM_PDC12_Tube_010.fcs/Lymphocytes/Bu1_Pos	53.9	6161
WT_20microM_PDC12_Tube_011.fcs	NA	22858
WT_20microM_PDC12_Tube_011.fcs/Lymphocytes	51.5	11771
WT_20microM_PDC12_Tube_011.fcs/Lymphocytes/BU-1_super_Pos	0.11	13
WT_20microM_PDC12_Tube_011.fcs/Lymphocytes/Bu1_Pos	74.5	8766
WT_20microM_PDC12_Tube_012.fcs	NA	18455
WT_20microM_PDC12_Tube_012.fcs/Lymphocytes	67.4	12431
WT_20microM_PDC12_Tube_012.fcs/Lymphocytes/BU-1_super_Pos	0.41	51
WT_20microM_PDC12_Tube_012.fcs/Lymphocytes/Bu1_Pos	96.5	12002
WT_20microM_PDC12_Tube_013.fcs	NA	46647
WT_20microM_PDC12_Tube_013.fcs/Lymphocytes	20.1	9393
WT_20microM_PDC12_Tube_013.fcs/Lymphocytes/BU-1_super_Pos	0.064	6
WT_20microM_PDC12_Tube_013.fcs/Lymphocytes/Bu1_Pos	6.82	641
WT_20microM_PDC12_Tube_014.fcs	NA	48235
WT_20microM_PDC12_Tube_014.fcs/Lymphocytes	19	9156
WT_20microM_PDC12_Tube_014.fcs/Lymphocytes/BU-1_super_Pos	0.32	29
WT_20microM_PDC12_Tube_014.fcs/Lymphocytes/Bu1_Pos	29.9	2736
WT_20microM_PDC12_Tube_015.fcs	NA	22187
WT_20microM_PDC12_Tube_015.fcs/Lymphocytes	54	11977
WT_20microM_PDC12_Tube_015.fcs/Lymphocytes/BU-1_super_Pos	0.00835	1
WT_20microM_PDC12_Tube_015.fcs/Lymphocytes/Bu1_Pos	4.19	502
WT_20microM_PDC12_Tube_016.fcs	NA	18090
WT_20microM_PDC12_Tube_016.fcs/Lymphocytes	58.8	10641
WT_20microM_PDC12_Tube_016.fcs/Lymphocytes/BU-1_super_Pos	1.5	160
WT_20microM_PDC12_Tube_016.fcs/Lymphocytes/Bu1_Pos	69	7344
WT_20microM_PDC12_Tube_017.fcs	NA	14778
WT_20microM_PDC12_Tube_017.fcs/Lymphocytes	69.4	10253
WT_20microM_PDC12_Tube_017.fcs/Lymphocytes/BU-1_super_Pos	0.74	76
WT_20microM_PDC12_Tube_017.fcs/Lymphocytes/Bu1_Pos	91.1	9340
WT_20microM_PDC12_Tube_018.fcs	NA	18103
WT_20microM_PDC12_Tube_018.fcs/Lymphocytes	57.2	10346
WT_20microM_PDC12_Tube_018.fcs/Lymphocytes/BU-1_super_Pos	0.76	79
WT_20microM_PDC12_Tube_018.fcs/Lymphocytes/Bu1_Pos	85.8	8874
WT_20microM_PDC12_Tube_019.fcs	NA	23003
WT_20microM_PDC12_Tube_019.fcs/Lymphocytes	45.2	10404
WT_20microM_PDC12_Tube_019.fcs/Lymphocytes/BU-1_super_Pos	0.32	33
WT_20microM_PDC12_Tube_019.fcs/Lymphocytes/Bu1_Pos	82.6	8592
WT_20microM_PDC12_Tube_020.fcs	NA	15486
WT_20microM_PDC12_Tube_020.fcs/Lymphocytes	66.6	10311
WT_20microM_PDC12_Tube_020.fcs/Lymphocytes/BU-1_super_Pos	0.64	66
WT_20microM_PDC12_Tube_020.fcs/Lymphocytes/Bu1_Pos	85.7	8840
WT_20microM_PDC12_Tube_021.fcs	NA	25978
WT_20microM_PDC12_Tube_021.fcs/Lymphocytes	43.7	11345
WT_20microM_PDC12_Tube_021.fcs/Lymphocytes/BU-1_super_Pos	0.088	10
WT_20microM_PDC12_Tube_021.fcs/Lymphocytes/Bu1_Pos	20.5	2323
WT_20microM_PDC12_Tube_022.fcs	NA	13671
WT_20microM_PDC12_Tube_022.fcs/Lymphocytes	75.2	10283
WT_20microM_PDC12_Tube_022.fcs/Lymphocytes/BU-1_super_Pos	1.94	199
WT_20microM_PDC12_Tube_022.fcs/Lymphocytes/Bu1_Pos	95	9767
WT_20microM_PDC12_Tube_023.fcs	NA	38347
WT_20microM_PDC12_Tube_023.fcs/Lymphocytes	28.8	11062
WT_20microM_PDC12_Tube_023.fcs/Lymphocytes/BU-1_super_Pos	3	332
WT_20microM_PDC12_Tube_023.fcs/Lymphocytes/Bu1_Pos	54.2	5995
WT_20microM_PDC12_Tube_024.fcs	NA	22267
WT_20microM_PDC12_Tube_024.fcs/Lymphocytes	11.3	2526
WT_20microM_PDC12_Tube_024.fcs/Lymphocytes/BU-1_super_Pos	0	0
WT_20microM_PDC12_Tube_024.fcs/Lymphocytes/Bu1_Pos	0.079	2